last_name, first_name,player_id,year,player_age,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_foul,b_foul_tip,b_game,woba,wobacon,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count,iz_contact_percent,whiff_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,
Stevenson, Cal,670276,2022,25,71,10,7,3,0,0,23,8,32.4,11.3,.167,.217,.254,.470,.050,43,1,23,.224,.262,87.6,10.6,2,5,32.5,57.4,21.2,19.9,41.4,55.2,49.7,70.4,9.2,294,78.8,26.3,47.5,17.5,27.5,7.5,
Rojas, Jose,670351,2022,29,57,7,5,2,0,0,19,0,33.3,0.0,.125,.161,.140,.301,.036,59,2,22,.134,.188,84.8,27.9,1,2.7,32.4,70.4,22.7,41.7,32.6,65.1,45.2,71.4,6.1,228,77.3,26,32.4,16.2,18.9,32.4,
Alvarez, Yordan,670541,2022,25,561,144,76,29,2,37,106,78,18.9,13.9,.306,.613,.406,1.019,.306,346,21,135,.427,.495,95.2,12.3,78,21,59.8,63.7,12.4,24.8,47.3,52.7,54,76.6,6.6,2195,87.4,23.4,39.9,30.5,27,2.7,
Paredes, Isaac,670623,2022,23,381,68,32,16,0,20,67,44,17.6,11.5,.205,.435,.304,.740,.230,272,10,111,.323,.338,87.4,15.8,17,6.4,38.7,60.7,11,20.5,31.4,68.6,51.9,70.6,7.4,1617,89,16.5,42.1,28.2,17.7,12,
Brosseau, Mike,670712,2022,28,160,36,25,5,0,6,48,14,30.0,8.8,.255,.418,.344,.762,.163,129,11,69,.338,.439,89.1,14.6,8,8.6,41.9,66.6,27.6,27.9,39.2,60.8,50.7,74,7.3,686,72.4,31.1,40.9,34.4,22.6,2.2,
Walls, Taylor,670764,2022,25,466,70,42,18,2,8,120,52,25.8,11.2,.172,.285,.266,.551,.113,307,16,142,.252,.275,86.3,16.6,18,6.2,28.5,64.9,20,19.8,44,55.5,48.6,77.6,7.8,1888,78.9,25.4,37.8,26.8,26.8,8.6,
Gonzalez, Luis,670768,2022,26,350,79,56,17,2,4,75,30,21.4,8.6,.254,.360,.323,.683,.106,279,10,98,.302,.342,86.9,10.9,7,2.9,32,68,15.6,26,41.8,55.6,49.5,85.5,8.4,1472,82,22.7,47.3,27,20.3,5.4,
Friedl Jr., TJ,670770,2022,26,258,54,31,10,5,8,40,20,15.5,7.8,.240,.436,.314,.750,.196,148,6,72,.323,.338,87.2,19.8,9,4.7,29.8,63.1,12.5,24,39.2,60.8,50.2,71.6,7.4,996,85,19.9,35.1,32.5,20.4,12,
Soto, Livan,670869,2022,22,59,22,15,5,1,1,13,2,22.0,3.4,.400,.582,.407,.989,.182,47,3,18,.424,.540,83.8,19.8,0,0,15.9,73.5,8.1,25.5,44.4,55.6,47.5,90.9,4.9,223,88.4,16.8,34.1,29.5,29.5,6.8,
Herrera, Ivan,671056,2022,22,22,2,2,0,0,0,8,2,36.4,9.1,.111,.111,.182,.293,.000,16,2,11,.150,.161,85.2,8.1,0,0,16.7,56.6,13.3,20,77.8,22.2,45.9,44.4,9.2,98,86.7,28.2,58.3,25,8.3,8.3,
